nephilim heritage	"heritage:nephilim"	Nephilim
insightful goloma heritage	"heritage:insightful-goloma"	Insightful Goloma
vigilant goloma heritage	"heritage:vigilant-goloma"	Vigilant Goloma
vicious goloma heritage	"heritage:vicious-goloma"	Vicious Goloma
gutsy halfling heritage	"heritage:gutsy-halfling"	Gutsy Halfling
jinxed halfling heritage	"heritage:jinxed-halfling"	Jinxed Halfling
observant halfling heritage	"heritage:observant-halfling"	Observant Halfling
hillock halfling heritage	"heritage:hillock-halfling"	Hillock Halfling
twilight halfling heritage	"heritage:twilight-halfling"	Twilight Halfling
nomadic halfling heritage	"heritage:nomadic-halfling"	Nomadic Halfling
wildwood halfling heritage	"heritage:wildwood-halfling"	Wildwood Halfling
warrenbred hobgoblin heritage	"heritage:warrenbred-hobgoblin"	Warrenbred Hobgoblin
steelskin hobgoblin heritage	"heritage:steelskin-hobgoblin"	Steelskin Hobgoblin
runtboss hobgoblin heritage	"heritage:runtboss-hobgoblin"	Runtboss Hobgoblin
warmarch hobgoblin heritage	"heritage:warmarch-hobgoblin"	Warmarch Hobgoblin
elfbane hobgoblin heritage	"heritage:elfbane-hobgoblin"	Elfbane Hobgoblin
smokeworker hobgoblin heritage	"heritage:smokeworker-hobgoblin"	Smokeworker Hobgoblin
shortshanks hobgoblin heritage	"heritage:shortshanks-hobgoblin"	Shortshanks Hobgoblin
warden human heritage	"heritage:warden-human-bb"	Warden Human (BB)
wintertouched human heritage	"heritage:wintertouched-human"	Wintertouched Human
battle-trained human heritage	"heritage:battle-trained-human-bb"	Battle-Trained Human (BB)
versatile human heritage	"heritage:versatile-human"	Versatile Human
ambitious human heritage	"heritage:ambitious-human"	Ambitious Human
skilled human heritage	"heritage:skilled-human"	Skilled Human
weaver jotunborn heritage	"heritage:weaver-jotunborn"	Weaver Jotunborn
plane-hopper jotunborn heritage	"heritage:plane-hopper-jotunborn"	Plane-Hopper Jotunborn
sage jotunborn heritage	"heritage:sage-jotunborn"	Sage Jotunborn
keeper jotunborn heritage	"heritage:keeper-jotunborn"	Keeper Jotunborn
warrior jotunborn heritage	"heritage:warrior-jotunborn"	Warrior Jotunborn
trogloshi heritage	"heritage:trogloshi"	Trogloshi
athamasi heritage	"heritage:athamasi"	Athamasi
lethoci heritage	"heritage:lethoci"	Lethoci
xyloshi heritage	"heritage:xyloshi"	Xyloshi
nascent heritage	"heritage:nascent"	Nascent
dog kholo heritage	"heritage:dog-kholo"	Dog Kholo
sweetbreath kholo heritage	"heritage:sweetbreath-kholo"	Sweetbreath Kholo
cave kholo heritage	"heritage:cave-kholo"	Cave Kholo
great kholo heritage	"heritage:great-kholo"	Great Kholo
winter kholo heritage	"heritage:winter-kholo"	Winter Kholo
witch kholo heritage	"heritage:witch-kholo"	Witch Kholo
ant kholo heritage	"heritage:ant-kholo"	Ant Kholo
celestial envoy kitsune heritage	"heritage:celestial-envoy-kitsune"	Celestial Envoy Kitsune
dark fields kitsune heritage	"heritage:dark-fields-kitsune"	Dark Fields Kitsune
palace echoes kitsune heritage	"heritage:palace-echoes-kitsune"	Palace Echoes Kitsune
earthly wilds kitsune heritage	"heritage:earthly-wilds-kitsune"	Earthly Wilds Kitsune
frozen wind kitsune heritage	"heritage:frozen-wind-kitsune"	Frozen Wind Kitsune
empty sky kitsune heritage	"heritage:empty-sky-kitsune"	Empty Sky Kitsune
cavernstalker kobold heritage	"heritage:cavernstalker-kobold"	Cavernstalker Kobold
caveclimber kobold heritage	"heritage:caveclimber-kobold"	Caveclimber Kobold
heavenscribe kobold heritage	"heritage:heavenscribe-kobold"	Heavenscribe Kobold
dragonscaled kobold heritage	"heritage:dragonscaled-kobold"	Dragonscaled Kobold
mightyfall kobold heritage	"heritage:mightyfall-kobold"	Mightyfall Kobold
spellhorn kobold heritage	"heritage:spellhorn-kobold"	Spellhorn Kobold
strongjaw kobold heritage	"heritage:strongjaw-kobold"	Strongjaw Kobold
tunnelflood kobold heritage	"heritage:tunnelflood-kobold"	Tunnelflood Kobold
elementheart kobold heritage	"heritage:elementheart-kobold"	Elementheart Kobold
venomtail kobold heritage	"heritage:venomtail-kobold"	Venomtail Kobold
cactus leshy heritage	"heritage:cactus-leshy"	Cactus Leshy
fungus leshy heritage	"heritage:fungus-leshy"	Fungus Leshy
root leshy heritage	"heritage:root-leshy"	Root Leshy
chrysanthemum leshy heritage	"heritage:chrysanthemum-leshy"	Chrysanthemum Leshy
peachchild leshy heritage	"heritage:peachchild-leshy"	Peachchild Leshy
pine leshy heritage	"heritage:pine-leshy"	Pine Leshy
fruit leshy heritage	"heritage:fruit-leshy"	Fruit Leshy
leaf leshy heritage	"heritage:leaf-leshy"	Leaf Leshy
vine leshy heritage	"heritage:vine-leshy"	Vine Leshy
seaweed leshy heritage	"heritage:seaweed-leshy"	Seaweed Leshy
lotus leshy heritage	"heritage:lotus-leshy"	Lotus Leshy
gourd leshy heritage	"heritage:gourd-leshy"	Gourd Leshy
frilled lizardfolk heritage	"heritage:frilled-lizardfolk"	Frilled Lizardfolk
sandstrider lizardfolk heritage	"heritage:sandstrider-lizardfolk"	Sandstrider Lizardfolk
bakuwa lizardfolk heritage	"heritage:bakuwa-lizardfolk"	Bakuwa Lizardfolk
cliffscale lizardfolk heritage	"heritage:cliffscale-lizardfolk"	Cliffscale Lizardfolk
woodstalker lizardfolk heritage	"heritage:woodstalker-lizardfolk"	Woodstalker Lizardfolk
unseen lizardfolk heritage	"heritage:unseen-lizardfolk"	Unseen Lizardfolk
wetlander lizardfolk heritage	"heritage:wetlander-lizardfolk"	Wetlander Lizardfolk
makari lizardfolk heritage	"heritage:makari-lizardfolk"	Makari Lizardfolk
cloudleaper lizardfolk heritage	"heritage:cloudleaper-lizardfolk"	Cloudleaper Lizardfolk
sailfish merfolk heritage	"heritage:sailfish-merfolk"	Sailfish Merfolk
abyssal merfolk heritage	"heritage:abyssal-merfolk"	Abyssal Merfolk
carcharodon merfolk heritage	"heritage:carcharodon-merfolk"	Carcharodon Merfolk
pelagic merfolk heritage	"heritage:pelagic-merfolk"	Pelagic Merfolk
reef merfolk heritage	"heritage:reef-merfolk"	Reef Merfolk
cecaelia merfolk heritage	"heritage:cecaelia-merfolk"	Cecaelia Merfolk
littlehorn minotaur heritage	"heritage:littlehorn-minotaur"	Littlehorn Minotaur
roaming minotaur heritage	"heritage:roaming-minotaur"	Roaming Minotaur
ghost bull minotaur heritage	"heritage:ghost-bull-minotaur"	Ghost Bull Minotaur
glacier cavern minotaur heritage	"heritage:glacier-cavern-minotaur"	Glacier Cavern Minotaur
slabsoul minotaur heritage	"heritage:slabsoul-minotaur"	Slabsoul Minotaur
stalker minotaur heritage	"heritage:stalker-minotaur"	Stalker Minotaur
venomshield nagaji heritage	"heritage:venomshield-nagaji"	Venomshield Nagaji
shimmertongue nagaji heritage	"heritage:shimmertongue-nagaji"	Shimmertongue Nagaji
titan nagaji heritage	"heritage:titan-nagaji"	Titan Nagaji
whipfang nagaji heritage	"heritage:whipfang-nagaji"	Whipfang Nagaji
sacred nagaji heritage	"heritage:sacred-nagaji"	Sacred Nagaji
hooded nagaji heritage	"heritage:hooded-nagaji"	Hooded Nagaji
badlands orc heritage	"heritage:badlands-orc"	Badlands Orc
hold-scarred orc heritage	"heritage:hold-scarred-orc"	Hold-Scarred Orc
grave orc heritage	"heritage:grave-orc"	Grave Orc
rainfall orc heritage	"heritage:rainfall-orc"	Rainfall Orc
battle-ready orc heritage	"heritage:battle-ready-orc"	Battle-Ready Orc
winter orc heritage	"heritage:winter-orc"	Winter Orc
deep orc heritage	"heritage:deep-orc"	Deep Orc
stuffed poppet heritage	"heritage:stuffed-poppet"	Stuffed Poppet
windup poppet heritage	"heritage:windup-poppet"	Windup Poppet
toy poppet heritage	"heritage:toy-poppet"	Toy Poppet
ghost poppet heritage	"heritage:ghost-poppet"	Ghost Poppet
tsukumogami poppet heritage	"heritage:tsukumogami-poppet"	Tsukumogami Poppet
wishborn poppet heritage	"heritage:wishborn-poppet"	Wishborn Poppet
snow rat heritage	"heritage:snow-rat"	Snow Rat
deep rat heritage	"heritage:deep-rat"	Deep Rat
tunnel rat heritage	"heritage:tunnel-rat"	Tunnel Rat
sewer rat heritage	"heritage:sewer-rat"	Sewer Rat
longsnout rat heritage	"heritage:longsnout-rat"	Longsnout Rat
shadow rat heritage	"heritage:shadow-rat"	Shadow Rat
desert rat heritage	"heritage:desert-rat"	Desert Rat
oracular samsaran heritage	"heritage:oracular-samsaran"	Oracular Samsaran
mountaineer samsaran heritage	"heritage:mountaineer-samsaran"	Mountaineer Samsaran
sanctuary samsaran heritage	"heritage:sanctuary-samsaran"	Sanctuary Samsaran
healer samsaran heritage	"heritage:healer-samsaran"	Healer Samsaran
wilderness samsaran heritage	"heritage:wilderness-samsaran"	Wilderness Samsaran
full moon sarangay heritage	"heritage:full-moon-sarangay"	Full Moon Sarangay
waxing moon sarangay heritage	"heritage:waxing-moon-sarangay"	Waxing Moon Sarangay
new moon sarangay heritage	"heritage:new-moon-sarangay"	New Moon Sarangay
half moon sarangay heritage	"heritage:half-moon-sarangay"	Half Moon Sarangay
waning moon sarangay heritage	"heritage:waning-moon-sarangay"	Waning Moon Sarangay
spellkeeper shisk heritage	"heritage:spellkeeper-shisk"	Spellkeeper Shisk
lorekeeper shisk heritage	"heritage:lorekeeper-shisk"	Lorekeeper Shisk
stronggut shisk heritage	"heritage:stronggut-shisk"	Stronggut Shisk
stonestep shisk heritage	"heritage:stonestep-shisk"	Stonestep Shisk
quillcoat shisk heritage	"heritage:quillcoat-shisk"	Quillcoat Shisk
thickcoat shoony heritage	"heritage:thickcoat-shoony"	Thickcoat Shoony
fishseeker shoony heritage	"heritage:fishseeker-shoony"	Fishseeker Shoony
paddler shoony heritage	"heritage:paddler-shoony"	Paddler Shoony
bloodhound shoony heritage	"heritage:bloodhound-shoony"	Bloodhound Shoony
sturdy skeleton heritage	"heritage:sturdy-skeleton"	Sturdy Skeleton
fodder skeleton heritage	"heritage:fodder-skeleton"	Fodder Skeleton
shifting skeleton heritage	"heritage:shifting-skeleton"	Shifting Skeleton
compact skeleton heritage	"heritage:compact-skeleton"	Compact Skeleton
monstrous skeleton heritage	"heritage:monstrous-skeleton"	Monstrous Skeleton
kanchil heritage	"heritage:kanchil"	Kanchil
pixie heritage	"heritage:pixie"	Pixie
luminous sprite heritage	"heritage:luminous-sprite"	Luminous Sprite
dijiang heritage	"heritage:dijiang"	Dijiang
melixie heritage	"heritage:melixie"	Melixie
grig heritage	"heritage:grig"	Grig
nyktera heritage	"heritage:nyktera"	Nyktera
gandharva heritage	"heritage:gandharva"	Gandharva
leungli heritage	"heritage:leungli"	Leungli
draxie heritage	"heritage:draxie"	Draxie
nightglider strix heritage	"heritage:nightglider-strix"	Nightglider Strix
predator strix heritage	"heritage:predator-strix"	Predator Strix
shoreline strix heritage	"heritage:shoreline-strix"	Shoreline Strix
songbird strix heritage	"heritage:songbird-strix"	Songbird Strix
scavenger strix heritage	"heritage:scavenger-strix"	Scavenger Strix
elytron surki heritage	"heritage:elytron-surki"	Elytron Surki
breaker surki heritage	"heritage:breaker-surki"	Breaker Surki
lantern surki heritage	"heritage:lantern-surki"	Lantern Surki
hardshell surki heritage	"heritage:hardshell-surki"	Hardshell Surki
steadfast tanuki heritage	"heritage:steadfast-tanuki"	Steadfast Tanuki
virtuous tanuki heritage	"heritage:virtuous-tanuki"	Virtuous Tanuki
ascetic tanuki heritage	"heritage:ascetic-tanuki"	Ascetic Tanuki
courageous tanuki heritage	"heritage:courageous-tanuki"	Courageous Tanuki
even-tempered tanuki heritage	"heritage:even-tempered-tanuki"	Even-Tempered Tanuki
dogtooth tengu heritage	"heritage:dogtooth-tengu"	Dogtooth Tengu
stormtossed tengu heritage	"heritage:stormtossed-tengu"	Stormtossed Tengu
wavediver tengu heritage	"heritage:wavediver-tengu"	Wavediver Tengu
jinxed tengu heritage	"heritage:jinxed-tengu"	Jinxed Tengu
mountainkeeper tengu heritage	"heritage:mountainkeeper-tengu"	Mountainkeeper Tengu
taloned tengu heritage	"heritage:taloned-tengu"	Taloned Tengu
skyborn tengu heritage	"heritage:skyborn-tengu"	Skyborn Tengu
thickskin tripkee heritage	"heritage:thickskin-tripkee"	Thickskin Tripkee
snaptongue tripkee heritage	"heritage:snaptongue-tripkee"	Snaptongue Tripkee
camouflage tripkee heritage	"heritage:camouflage-tripkee"	Camouflage Tripkee
riverside tripkee heritage	"heritage:riverside-tripkee"	Riverside Tripkee
poisonhide tripkee heritage	"heritage:poisonhide-tripkee"	Poisonhide Tripkee
stickytoe tripkee heritage	"heritage:stickytoe-tripkee"	Stickytoe Tripkee
windweb tripkee heritage	"heritage:windweb-tripkee"	Windweb Tripkee
ragdyan vanara heritage	"heritage:ragdyan-vanara"	Ragdyan Vanara
bandaagee vanara heritage	"heritage:bandaagee-vanara"	Bandaagee Vanara
lahkgyan vanara heritage	"heritage:lahkgyan-vanara"	Lahkgyan Vanara
wajaghand vanara heritage	"heritage:wajaghand-vanara"	Wajaghand Vanara
keen-venom vishkanya heritage	"heritage:keen-venom-vishkanya"	Keen-Venom Vishkanya
venom-resistant vishkanya heritage	"heritage:venom-resistant-vishkanya"	Venom-Resistant Vishkanya
old-blood vishkanya heritage	"heritage:old-blood-vishkanya"	Old-Blood Vishkanya
scalekeeper vishkanya heritage	"heritage:scalekeeper-vishkanya"	Scalekeeper Vishkanya
prismatic vishkanya heritage	"heritage:prismatic-vishkanya"	Prismatic Vishkanya
elusive vishkanya heritage	"heritage:elusive-vishkanya"	Elusive Vishkanya
shadow of the sailor heritage	"heritage:shadow-of-the-sailor"	Shadow of the Sailor
shadow of the courtier heritage	"heritage:shadow-of-the-courtier"	Shadow of the Courtier
shadow of the smith heritage	"heritage:shadow-of-the-smith"	Shadow of the Smith
shadow of the wanderer heritage	"heritage:shadow-of-the-wanderer"	Shadow of the Wanderer
shadow of the hermit heritage	"heritage:shadow-of-the-hermit"	Shadow of the Hermit
deny the firstborn pursuit heritage	"heritage:deny-the-firstborn-pursuit"	Deny the Firstborn Pursuit
respite of loam and leaf heritage	"heritage:respite-of-loam-and-leaf"	Respite of Loam and Leaf
deny the traitor's rebirth heritage	"heritage:deny-the-traitors-rebirth"	Deny the Traitor's Rebirth
respite of cloudless paths heritage	"heritage:respite-of-cloudless-paths"	Respite of Cloudless Paths
respite of a thousand roofs heritage	"heritage:respite-of-a-thousand-roofs"	Respite of a Thousand Roofs
deny lady nanbyo's charity heritage	"heritage:deny-lady-nanbyos-charity"	Deny Lady Nanbyo's Charity
born of celestial heritage	"heritage:born-of-celestial"	Born of Celestial
born of elements heritage	"heritage:born-of-elements"	Born of Elements
born of animal heritage	"heritage:born-of-animal"	Born of Animal
born of item heritage	"heritage:born-of-item"	Born of Item
born of vegetation heritage	"heritage:born-of-vegetation"	Born of Vegetation
awakened mind	"feature:awakened-mind"	Awakened Mind
glowing horn	"feature:glowing-horn"	Glowing Horn
eyes in back	"feature:eyes-in-back"	Eyes in Back
aquatic adaptation	"feature:aquatic-adaptation"	Aquatic Adaptation
constructed	"feature:constructed-poppet"	Constructed (Poppet)
sunlight healing	"feature:sunlight-healing"	Sunlight Healing
wanderer's soul	"feature:wanderers-soul"	Wanderer's Soul
iivlar weaving	"feature:iivlar-weaving"	Iivlar Weaving
hydration	"feature:hydration-merfolk"	Hydration (Merfolk)
constructed body	"feature:constructed-body"	Constructed Body
clan dagger	"feature:clan-dagger"	Clan Dagger
head gem	"feature:head-gem"	Head Gem
innate venom	"feature:innate-venom"	Innate Venom
awakened form	"feature:awakened-form"	Awakened Form
horns	"feature:horns-sarangay"	Horns (Sarangay)
photosynthesis	"feature:photosynthesis"	Photosynthesis
claws	"feature:claws"	Claws
big sharp teeth	"feature:big-sharp-teeth"	Big Sharp Teeth
prehensile tail	"feature:prehensile-tail"	Prehensile Tail
cryptomnesia	"feature:cryptomnesia"	Cryptomnesia
empathic sense	"feature:empathic-sense"	Empathic Sense
automaton core	"feature:automaton-core"	Automaton Core
wings	"feature:wings-dragonet"	Wings (Dragonet)
robust	"feature:robust"	Robust
basic undead benefits	"feature:basic-undead-benefits"	Basic Undead Benefits
plant nourishment	"feature:plant-nourishment"	Plant Nourishment
magical strikes	"feature:magical-strikes"	Magical Strikes
draconic benefactor	"feature:draconic-benefactor"	Draconic Benefactor
mount	"feature:mount"	Mount
advanced undead benefits	"feature:advanced-undead-benefits"	Advanced Undead Benefits
sunlight	"feature:sunlight"	Sunlight
aquatic grace	"feature:aquatic-grace"	Aquatic Grace
fangs	"feature:fangs"	Fangs
revulsion	"feature:revulsion"	Revulsion
blunt snout	"feature:blunt-snout"	Blunt Snout
draconic exemplar	"feature:draconic-exemplar"	Draconic Exemplar
natural climber	"feature:natural-climber"	Natural Climber
horns	"feature:horns-minotaur"	Horns (Minotaur)
fangs	"feature:fangs-nagaji"	Fangs (Nagaji)
bite	"feature:bite"	Bite
swim	"feature:swim"	Swim
change shape	"feature:change-shape"	Change Shape
unusual anatomy	"feature:unusual-anatomy"	Unusual Anatomy
constructed	"feature:constructed"	Constructed
wings	"feature:wings"	Wings
magiphage	"feature:magiphage"	Magiphage
animal attack	"feature:animal-attack"	Animal Attack
sharp beak	"feature:sharp-beak"	Sharp Beak
flammable	"feature:flammable"	Flammable
land on your feet	"feature:land-on-your-feet"	Land on Your Feet
sharp teeth	"feature:sharp-teeth"	Sharp Teeth
emotionally unaware	"feature:emotionally-unaware"	Emotionally Unaware
greater darkvision	"feature:greater-darkvision"	Greater Darkvision
hydration	"feature:hydration"	Hydration
keen eyes	"feature:keen-eyes"	Keen Eyes
quick-tempered	"feature:quick-tempered"	Quick-Tempered
arcane cascade	"feature:arcane-cascade"	Arcane Cascade
warpriest	"feature:warpriest"	Warpriest
animal instinct	"feature:animal-instinct"	Animal Instinct
versatile legend	"feature:versatile-legend"	Versatile Legend
inventor weapon expertise	"feature:inventor-weapon-expertise"	Inventor Weapon Expertise
resolute faith	"feature:resolute-faith"	Resolute Faith
gathered lore	"feature:gathered-lore"	Gathered Lore
eidolon defensive mastery	"feature:eidolon-defensive-mastery"	Eidolon Defensive Mastery
conscious mind	"feature:conscious-mind"	Conscious Mind
unnatural fortitude	"feature:unnatural-fortitude"	Unnatural Fortitude
master strikes	"feature:master-strikes"	Master Strikes
elemental instinct	"feature:elemental-instinct"	Elemental Instinct
divine defense	"feature:divine-defense"	Divine Defense
hunt prey	"feature:hunt-prey"	Hunt Prey
perception mastery	"feature:perception-mastery"	Perception Mastery
champion's aura	"feature:champions-aura"	Champion's Aura
final creed	"feature:final-creed"	Final Creed
perpetual perfection	"feature:perpetual-perfection"	Perpetual Perfection
continuous flair	"feature:continuous-flair"	Continuous Flair
greater field discovery	"feature:greater-field-discovery-mutagenist"	Greater Field Discovery (Mutagenist)
acrobat's calling	"feat:acrobats-calling"	Acrobat's Calling
ki spells	"feature:ki-spells"	Ki Spells
peerless under heaven	"feature:peerless-under-heaven"	Peerless under Heaven
path to perfection	"feature:path-to-perfection"	Path to Perfection
supreme incarnation	"feature:supreme-incarnation"	Supreme Incarnation
blight	"feature:blight"	Blight
spell repertoire	"feature:spell-repertoire"	Spell Repertoire
necromancer spellcasting	"feature:necromancer-spellcasting"	Necromancer Spellcasting
the distant grasp	"feature:the-distant-grasp"	The Distant Grasp
