xenometric android heritage	"heritage:xenometric-android"	Xenometric Android
queen's court formian heritage	"heritage:queens-court-formian"	Queen's Court Formian
soldier formian heritage	"heritage:soldier-formian"	Soldier Formian
ambassador formian heritage	"heritage:ambassador-formian"	Ambassador Formian
worker formian heritage	"heritage:worker-formian"	Worker Formian
stonehail g'folian heritage	"heritage:stonehail-gfolian"	Stonehail G'folian
citywrought g'folian heritage	"heritage:citywrought-gfolian"	Citywrought G'folian
opensky g'folian heritage	"heritage:opensky-gfolian"	Opensky G'folian
icesure g'folian heritage	"heritage:icesure-gfolian"	Icesure G'folian
brightsheen g'folian heritage	"heritage:brightsheen-gfolian"	Brightsheen G'folian
techitin gnarefuroid heritage	"heritage:techitin-gnarefuroid"	Techitin Gnarefuroid
xenoresponsive gnarefuroid heritage	"heritage:xenoresponsive-gnarefuroid"	Xenoresponsive Gnarefuroid
hullborne gnarefuroid heritage	"heritage:hullborne-gnarefuroid"	Hullborne Gnarefuroid
chemoreceptive gnarefuroid heritage	"heritage:chemoreceptive-gnarefuroid"	Chemoreceptive Gnarefuroid
clinging gnarefuroid heritage	"heritage:clinging-gnarefuroid"	Clinging Gnarefuroid
void hermit gnome heritage	"heritage:void-hermit-gnome"	Void Hermit Gnome
stellar gnome heritage	"heritage:stellar-gnome"	Stellar Gnome
xenofey gnome heritage	"heritage:xenofey-gnome"	Xenofey Gnome
drift delver gnome heritage	"heritage:drift-delver-gnome"	Drift Delver Gnome
tankmeat goblin heritage	"heritage:tankmeat-goblin"	Tankmeat Goblin
infogriefer goblin heritage	"heritage:infogriefer-goblin"	Infogriefer Goblin
mutant goblin heritage	"heritage:mutant-goblin"	Mutant Goblin
junker goblin heritage	"heritage:junker-goblin"	Junker Goblin
quarterling halfling heritage	"heritage:quarterling-halfling"	Quarterling Halfling
caravan cousin halfling heritage	"heritage:caravan-cousin-halfling"	Caravan Cousin Halfling
whispered record halfling heritage	"heritage:whispered-record-halfling"	Whispered Record Halfling
ductsneak halfling heritage	"heritage:ductsneak-halfling"	Ductsneak Halfling
jajor protector hardor heritage	"heritage:jajor-protector-hardor"	Jajor Protector Hardor
runha mechanic hardor heritage	"heritage:runha-mechanic-hardor"	Runha Mechanic Hardor
arjan healer hardor heritage	"heritage:arjan-healer-hardor"	Arjan Healer Hardor
holon seeker hardor heritage	"heritage:holon-seeker-hardor"	Holon Seeker Hardor
damai human heritage	"heritage:damai-human"	Damai Human
golarion survivor human heritage	"heritage:golarion-survivor-human"	Golarion Survivor Human
hylki human heritage	"heritage:hylki-human"	Hylki Human
pioneer human heritage	"heritage:pioneer-human"	Pioneer Human
versatile human heritage	"heritage:versatile-human"	Versatile Human
urbanite human heritage	"heritage:urbanite-human"	Urbanite Human
sunkissed human heritage	"heritage:sunkissed-human"	Sunkissed Human
cataclyst human heritage	"heritage:cataclyst-human"	Cataclyst Human
skilled human heritage	"heritage:skilled-human"	Skilled Human
crystal crown ijtikri heritage	"heritage:crystal-crown-ijtikri"	Crystal Crown Ijtikri
shrouded mantle ijtikri heritage	"heritage:shrouded-mantle-ijtikri"	Shrouded Mantle Ijtikri
mottled hide ijtikri heritage	"heritage:mottled-hide-ijtikri"	Mottled Hide Ijtikri
brilliant mien ijtikri heritage	"heritage:brilliant-mien-ijtikri"	Brilliant Mien Ijtikri
countershade crest ijtikri heritage	"heritage:countershade-crest-ijtikri"	Countershade Crest Ijtikri
pampered ikeshti heritage	"heritage:pampered-ikeshti"	Pampered Ikeshti
desert ikeshti heritage	"heritage:desert-ikeshti"	Desert Ikeshti
inured ikeshti heritage	"heritage:inured-ikeshti"	Inured Ikeshti
underground ikeshti heritage	"heritage:underground-ikeshti"	Underground Ikeshti
thorny ikeshti heritage	"heritage:thorny-ikeshti"	Thorny Ikeshti
experimental ikeshti heritage	"heritage:experimental-ikeshti"	Experimental Ikeshti
spacefaring izalguun heritage	"heritage:spacefaring-izalguun"	Spacefaring Izalguun
resettled izalguun heritage	"heritage:resettled-izalguun"	Resettled Izalguun
izalraan izalguun heritage	"heritage:izalraan-izalguun"	Izalraan Izalguun
ancient izalguun heritage	"heritage:ancient-izalguun"	Ancient Izalguun
scoured stars izalguun heritage	"heritage:scoured-stars-izalguun"	Scoured Stars Izalguun
outworlder kalo heritage	"heritage:outworlder-kalo"	Outworlder Kalo
deep kalo heritage	"heritage:deep-kalo"	Deep Kalo
electric kalo heritage	"heritage:electric-kalo"	Electric Kalo
bloom-born kalo heritage	"heritage:bloom-born-kalo"	Bloom-Born Kalo
akitonian kasatha heritage	"heritage:akitonian-kasatha"	Akitonian Kasatha
void acolyte kasatha heritage	"heritage:void-acolyte-kasatha"	Void Acolyte Kasatha
wyrd kasatha heritage	"heritage:wyrd-kasatha"	Wyrd Kasatha
stellar nomad kasatha heritage	"heritage:stellar-nomad-kasatha"	Stellar Nomad Kasatha
green warden kasatha heritage	"heritage:green-warden-kasatha"	Green Warden Kasatha
shipborn kasatha heritage	"heritage:shipborn-kasatha"	Shipborn Kasatha
kasath survivalist heritage	"heritage:kasath-survivalist"	Kasath Survivalist
tempering heritage	"heritage:tempering"	Tempering
doomsayer kasatha heritage	"heritage:doomsayer-kasatha"	Doomsayer Kasatha
deadwood heritage	"heritage:deadwood"	Deadwood
wildseed heritage	"heritage:wildseed"	Wildseed
petrified heritage	"heritage:petrified"	Petrified
inflorescent heritage	"heritage:inflorescent"	Inflorescent
unbound lashunta heritage	"heritage:unbound-lashunta"	Unbound Lashunta
static mind lashunta heritage	"heritage:static-mind-lashunta"	Static Mind Lashunta
genetic pioneer lashunta heritage	"heritage:genetic-pioneer-lashunta"	Genetic Pioneer Lashunta
glowsilk lashunta heritage	"heritage:glowsilk-lashunta"	Glowsilk Lashunta
korasha lashunta heritage	"heritage:korasha-lashunta"	Korasha Lashunta
ascendant psychic lashunta heritage	"heritage:ascendant-psychic-lashunta"	Ascendant Psychic Lashunta
damaya lashunta heritage	"heritage:damaya-lashunta"	Damaya Lashunta
ksarik leshy heritage	"heritage:ksarik-leshy"	Ksarik Leshy
hardy leshy heritage	"heritage:hardy-leshy"	Hardy Leshy
hollow leshy heritage	"heritage:hollow-leshy"	Hollow Leshy
spore-producing leshy heritage	"heritage:spore-producing-leshy"	Spore-Producing Leshy
moonflower leshy heritage	"heritage:moonflower-leshy"	Moonflower Leshy
teal-blooded madrosarai heritage	"heritage:teal-blooded-madrosarai"	Teal-Blooded Madrosarai
gold-blooded madrosarai heritage	"heritage:gold-blooded-madrosarai"	Gold-Blooded Madrosarai
stone-blooded madrosarai heritage	"heritage:stone-blooded-madrosarai"	Stone-Blooded Madrosarai
umber-blooded madrosarai heritage	"heritage:umber-blooded-madrosarai"	Umber-Blooded Madrosarai
red-blooded madrosarai heritage	"heritage:red-blooded-madrosarai"	Red-Blooded Madrosarai
lime-blooded madrosarai heritage	"heritage:lime-blooded-madrosarai"	Lime-Blooded Madrosarai
ha quoia maraquoi heritage	"heritage:ha-quoia-maraquoi"	Ha Quoia Maraquoi
patagi maraquoi heritage	"heritage:patagi-maraquoi"	Patagi Maraquoi
roavisha maraquoi heritage	"heritage:roavisha-maraquoi"	Roavisha Maraquoi
enhoitra maraquoi heritage	"heritage:enhoitra-maraquoi"	Enhoitra Maraquoi
vali maraquoi heritage	"heritage:vali-maraquoi"	Vali Maraquoi
psychic messenger mecenaic heritage	"heritage:psychic-messenger-mecenaic"	Psychic Messenger Mecenaic
universal researcher mecenaic heritage	"heritage:universal-researcher-mecenaic"	Universal Researcher Mecenaic
elusive mecenaic heritage	"heritage:elusive-mecenaic"	Elusive Mecenaic
leisure stage mecenaic heritage	"heritage:leisure-stage-mecenaic"	Leisure Stage Mecenaic
court of fields moyishuu heritage	"heritage:court-of-fields-moyishuu"	Court of Fields Moyishuu
court of song moyishuu heritage	"heritage:court-of-song-moyishuu"	Court of Song Moyishuu
court of dance moyishuu heritage	"heritage:court-of-dance-moyishuu"	Court of Dance Moyishuu
court of flames moyishuu heritage	"heritage:court-of-flames-moyishuu"	Court of Flames Moyishuu
black hole novian heritage	"heritage:black-hole-novian"	Black Hole Novian
vital spark novian heritage	"heritage:vital-spark-novian"	Vital Spark Novian
bright novian heritage	"heritage:bright-novian"	Bright Novian
dense novian heritage	"heritage:dense-novian"	Dense Novian
volatile novian heritage	"heritage:volatile-novian"	Volatile Novian
massive novian heritage	"heritage:massive-novian"	Massive Novian
assimilating nuar heritage	"heritage:assimilating-nuar"	Assimilating Nuar
bulky nuar heritage	"heritage:bulky-nuar"	Bulky Nuar
lithe nuar heritage	"heritage:lithe-nuar"	Lithe Nuar
odd-horned nuar heritage	"heritage:odd-horned-nuar"	Odd-Horned Nuar
waste walker nuar heritage	"heritage:waste-walker-nuar"	Waste Walker Nuar
apostae delver orc heritage	"heritage:apostae-delver-orc"	Apostae Delver Orc
student of creation orc heritage	"heritage:student-of-creation-orc"	Student of Creation Orc
marixan warhawk orc heritage	"heritage:marixan-warhawk-orc"	Marixan Warhawk Orc
tabori trailblazer orc heritage	"heritage:tabori-trailblazer-orc"	Tabori Trailblazer Orc
clan kindred orc heritage	"heritage:clan-kindred-orc"	Clan Kindred Orc
song of songs ord heritage	"heritage:song-of-songs-ord"	Song of Songs Ord
song of the river ord heritage	"heritage:song-of-the-river-ord"	Song of the River Ord
song of the sun ord heritage	"heritage:song-of-the-sun-ord"	Song of the Sun Ord
song of ice ord heritage	"heritage:song-of-ice-ord"	Song of Ice Ord
mindstatic orocoran heritage	"heritage:mindstatic-orocoran"	Mindstatic Orocoran
shifthide orocoran heritage	"heritage:shifthide-orocoran"	Shifthide Orocoran
slitherskin orocoran heritage	"heritage:slitherskin-orocoran"	Slitherskin Orocoran
rubberlimb orocoran heritage	"heritage:rubberlimb-orocoran"	Rubberlimb Orocoran
bloodfilter orocoran heritage	"heritage:bloodfilter-orocoran"	Bloodfilter Orocoran
canopy crawler osharu heritage	"heritage:canopy-crawler-osharu"	Canopy Crawler Osharu
deepmarsh osharu heritage	"heritage:deepmarsh-osharu"	Deepmarsh Osharu
mire dweller osharu heritage	"heritage:mire-dweller-osharu"	Mire Dweller Osharu
gengen osharu heritage	"heritage:gengen-osharu"	Gengen Osharu
ancestor's armor osharu heritage	"heritage:ancestors-armor-osharu"	Ancestor's Armor Osharu
itinerant scholar osharu heritage	"heritage:itinerant-scholar-osharu"	Itinerant Scholar Osharu
meyel's chosen pahtra heritage	"heritage:meyels-chosen-pahtra"	Meyel's Chosen Pahtra
hunter-stalker pahtra heritage	"heritage:hunter-stalker-pahtra"	Hunter-Stalker Pahtra
voidborn pahtra heritage	"heritage:voidborn-pahtra"	Voidborn Pahtra
saberine pahtra heritage	"heritage:saberine-pahtra"	Saberine Pahtra
sand roamer heritage	"heritage:sand-roamer"	Sand Roamer
oozebonded pahtra heritage	"heritage:oozebonded-pahtra"	Oozebonded Pahtra
proudhome pahtra heritage	"heritage:proudhome-pahtra"	Proudhome Pahtra
rime walker pahtra heritage	"heritage:rime-walker-pahtra"	Rime Walker Pahtra
never wrong and always right phasorq heritage	"heritage:never-wrong-and-always-right-phasorq"	Never Wrong and Always Right Phasorq
party animal and chemistry whiz phasorq heritage	"heritage:party-animal-and-chemistry-whiz-phasorq"	Party Animal and Chemistry Whiz Phasorq
wanderer and friend phasorq heritage	"heritage:wanderer-and-friend-phasorq"	Wanderer and Friend Phasorq
expertise and more expertise phasorq heritage	"heritage:expertise-and-more-expertise-phasorq"	Expertise and More Expertise Phasorq
jury-rigging raxilite heritage	"heritage:jury-rigging-raxilite"	Jury-Rigging Raxilite
hyper-augmented raxilite heritage	"heritage:hyper-augmented-raxilite"	Hyper-Augmented Raxilite
keen-sighted raxilite heritage	"heritage:keen-sighted-raxilite"	Keen-Sighted Raxilite
next-gen raxilite heritage	"heritage:next-gen-raxilite"	Next-Gen Raxilite
inheritor raxilite heritage	"heritage:inheritor-raxilite"	Inheritor Raxilite
summerborn ryphorian heritage	"heritage:summerborn-ryphorian"	Summerborn Ryphorian
winterborn ryphorian heritage	"heritage:winterborn-ryphorian"	Winterborn Ryphorian
liminal ryphorian heritage	"heritage:liminal-ryphorian"	Liminal Ryphorian
legionnaire ryphorian heritage	"heritage:legionnaire-ryphorian"	Legionnaire Ryphorian
ukara ryphorian heritage	"heritage:ukara-ryphorian"	Ukara Ryphorian
newborn ryphorian heritage	"heritage:newborn-ryphorian"	Newborn Ryphorian
crèche-raised sarcesian heritage	"heritage:crèche-raised-sarcesian"	Crèche-Raised Sarcesian
sharp-eyed sarcesian heritage	"heritage:sharp-eyed-sarcesian"	Sharp-Eyed Sarcesian
stellar sarcesian heritage	"heritage:stellar-sarcesian"	Stellar Sarcesian
asteroid hopper sarcesian heritage	"heritage:asteroid-hopper-sarcesian"	Asteroid Hopper Sarcesian
compact sarcesian heritage	"heritage:compact-sarcesian"	Compact Sarcesian
suskillon cutoff shirren heritage	"heritage:suskillon-cutoff-shirren"	Suskillon Cutoff Shirren
iridescent shirren heritage	"heritage:iridescent-shirren"	Iridescent Shirren
krethiskar cutoff shirren heritage	"heritage:krethiskar-cutoff-shirren"	Krethiskar Cutoff Shirren
courtier shirren heritage	"heritage:courtier-shirren"	Courtier Shirren
fullbright shirren heritage	"heritage:fullbright-shirren"	Fullbright Shirren
swarm exile shirren heritage	"heritage:swarm-exile-shirren"	Swarm Exile Shirren
nchaki attendant shirren heritage	"heritage:nchaki-attendant-shirren"	Nchaki Attendant Shirren
defiant shirren heritage	"heritage:defiant-shirren"	Defiant Shirren
winged shirren heritage	"heritage:winged-shirren"	Winged Shirren
survivalist shobhad heritage	"heritage:survivalist-shobhad"	Survivalist Shobhad
glacierborn shobhad heritage	"heritage:glacierborn-shobhad"	Glacierborn Shobhad
akitonian nomad shobhad heritage	"heritage:akitonian-nomad-shobhad"	Akitonian Nomad Shobhad
offworld shobhad heritage	"heritage:offworld-shobhad"	Offworld Shobhad
sniper shobhad heritage	"heritage:sniper-shobhad"	Sniper Shobhad
urban shobhad heritage	"heritage:urban-shobhad"	Urban Shobhad
everwhelp skittermander heritage	"heritage:everwhelp-skittermander"	Everwhelp Skittermander
skitter raised heritage	"heritage:skitter-raised"	Skitter Raised
shiny skittermander heritage	"heritage:shiny-skittermander"	Shiny Skittermander
gadraveech skittermander heritage	"heritage:gadraveech-skittermander"	Gadraveech Skittermander
grumpy skittermander heritage	"heritage:grumpy-skittermander"	Grumpy Skittermander
gallant skittermander heritage	"heritage:gallant-skittermander"	Gallant Skittermander
fluffy skittermander heritage	"heritage:fluffy-skittermander"	Fluffy Skittermander
scrabbler skittermander heritage	"heritage:scrabbler-skittermander"	Scrabbler Skittermander
fidgeter skittermander heritage	"heritage:fidgeter-skittermander"	Fidgeter Skittermander
radioscout talphi heritage	"heritage:radioscout-talphi"	Radioscout Talphi
krregr po talphi heritage	"heritage:krregr-po-talphi"	Krregr Po Talphi
shadowskin talphi heritage	"heritage:shadowskin-talphi"	Shadowskin Talphi
zabanii po talphi heritage	"heritage:zabanii-po-talphi"	Zabanii Po Talphi
lowcrawler talphi heritage	"heritage:lowcrawler-talphi"	Lowcrawler Talphi
hylaxian diplomat trox heritage	"heritage:hylaxian-diplomat-trox"	Hylaxian Diplomat Trox
emeritus trox heritage	"heritage:emeritus-trox"	Emeritus Trox
fortified trox heritage	"heritage:fortified-trox"	Fortified Trox
plague-hardened trox heritage	"heritage:plague-hardened-trox"	Plague-Hardened Trox
tunnel runner trox heritage	"heritage:tunnel-runner-trox"	Tunnel Runner Trox
faith converted urog heritage	"heritage:faith-converted-urog"	Faith Converted Urog
matter eater urog heritage	"heritage:matter-eater-urog"	Matter Eater Urog
lightning bug urog heritage	"heritage:lightning-bug-urog"	Lightning Bug Urog
field researcher urog heritage	"heritage:field-researcher-urog"	Field Researcher Urog
crystal carapace urog heritage	"heritage:crystal-carapace-urog"	Crystal Carapace Urog
magic dabbler urog heritage	"heritage:magic-dabbler-urog"	Magic Dabbler Urog
venomthought vesk heritage	"heritage:venomthought-vesk"	Venomthought Vesk
plated vesk heritage	"heritage:plated-vesk"	Plated Vesk
horizon seeker vesk heritage	"heritage:horizon-seeker-vesk"	Horizon Seeker Vesk
nightstalker vesk heritage	"heritage:nightstalker-vesk"	Nightstalker Vesk
frilled vesk heritage	"heritage:frilled-vesk"	Frilled Vesk
fork-tongued vesk heritage	"heritage:fork-tongued-vesk"	Fork-tongued Vesk
warblood vesk heritage	"heritage:warblood-vesk"	Warblood Vesk
wavecrested vesk heritage	"heritage:wavecrested-vesk"	Wavecrested Vesk
briskwander vesk heritage	"heritage:briskwander-vesk"	Briskwander Vesk
enshrined vesk heritage	"heritage:enshrined-vesk"	Enshrined Vesk
empathic vlaka heritage	"heritage:empathic-vlaka"	Empathic Vlaka
winter coat vlaka heritage	"heritage:winter-coat-vlaka"	Winter Coat Vlaka
star marked vlaka heritage	"heritage:star-marked-vlaka"	Star Marked Vlaka
keen sighted vlaka heritage	"heritage:keen-sighted-vlaka"	Keen Sighted Vlaka
sharp-toothed vlaka heritage	"heritage:sharp-toothed-vlaka"	Sharp-Toothed Vlaka
nomadic vlaka heritage	"heritage:nomadic-vlaka"	Nomadic Vlaka
contract-sworn vulkarisu heritage	"heritage:contract-sworn-vulkarisu"	Contract-Sworn Vulkarisu
community-sworn vulkarisu heritage	"heritage:community-sworn-vulkarisu"	Community-Sworn Vulkarisu
burrow-sworn vulkarisu heritage	"heritage:burrow-sworn-vulkarisu"	Burrow-Sworn Vulkarisu
magic-sworn vulkarisu heritage	"heritage:magic-sworn-vulkarisu"	Magic-Sworn Vulkarisu
code-sworn vulkarisu heritage	"heritage:code-sworn-vulkarisu"	Code-Sworn Vulkarisu
sky-sworn vulkarisu heritage	"heritage:sky-sworn-vulkarisu"	Sky-Sworn Vulkarisu
vorlathi worlanisi heritage	"heritage:vorlathi-worlanisi"	Vorlathi Worlanisi
surithic worlanisi heritage	"heritage:surithic-worlanisi"	Surithic Worlanisi
luckless worlanisi heritage	"heritage:luckless-worlanisi"	Luckless Worlanisi
bumalla worlanisi heritage	"heritage:bumalla-worlanisi"	Bumalla Worlanisi
fortunaut worlanisi heritage	"heritage:fortunaut-worlanisi"	Fortunaut Worlanisi
listener ysoki heritage	"heritage:listener-ysoki"	Listener Ysoki
deep ysoki heritage	"heritage:deep-ysoki"	Deep Ysoki
shipborn ysoki heritage	"heritage:shipborn-ysoki"	Shipborn Ysoki
akitonian ysoki heritage	"heritage:akitonian-ysoki"	Akitonian Ysoki
tunnel ysoki heritage	"heritage:tunnel-ysoki"	Tunnel Ysoki
test-subject ysoki heritage	"heritage:test-subject-ysoki"	Test-Subject Ysoki
longsnout ysoki heritage	"heritage:longsnout-ysoki"	Longsnout Ysoki
fierce ysoki heritage	"heritage:fierce-ysoki"	Fierce Ysoki
versed	"feature:versed"	Versed
anosmatic	"feature:anosmatic"	Anosmatic
empathetic whiskers	"feature:empathetic-whiskers"	Empathetic Whiskers
keen eyes	"feature:keen-eyes"	Keen Eyes
psychic reverb	"feature:psychic-reverb"	Psychic Reverb
magical sense	"feature:magical-sense"	Magical Sense
direct approach	"feature:direct-approach"	Direct Approach
wasteland survivor	"feature:wasteland-survivor"	Wasteland Survivor
epistemological approach	"feature:epistemological-approach"	Epistemological Approach
vestigial arms	"feature:vestigial-arms"	Vestigial Arms
genetic adaptation	"feature:genetic-adaptation"	Genetic Adaptation
breathing underwater	"feature:breathing-underwater"	Breathing Underwater
energy wings	"feature:energy-wings"	Energy Wings
horns	"feature:horns"	Horns
stowaway	"feature:stowaway"	Stowaway
notched ears	"feature:notched-ears"	Notched Ears
lfan	"feature:lfan"	LFAN
slime squirt	"feature:slime-squirt"	Slime Squirt
gravitational hands	"feature:gravitational-hands"	Gravitational Hands
solar luminance	"feature:solar-luminance"	Solar Luminance
soulfeel	"feature:soulfeel"	Soulfeel
gravitonic attunement	"feature:gravitonic-attunement"	Gravitonic Attunement
thoughtsense	"feature:thoughtsense"	Thoughtsense
gravitational adept	"feature:gravitational-adept"	Gravitational Adept
dermal hearing	"feature:dermal-hearing"	Dermal Hearing
restless	"feature:restless"	Restless
prehensile tail	"feature:prehensile-tail"	Prehensile Tail
cold-adapted	"feature:cold-adapted"	Cold-Adapted
oozy	"feature:oozy"	Oozy
limited telepathy	"feature:limited-telepathy"	Limited Telepathy
sightless	"feature:sightless"	Sightless
contained emotions	"feature:contained-emotions"	Contained Emotions
posture	"feature:posture"	Posture
suspended respiration	"feature:suspended-respiration"	Suspended Respiration
twice the training	"feature:twice-the-training"	Twice the Training
atrophied	"feature:atrophied"	Atrophied
emotionsense	"feat:emotionsense"	Emotionsense
hydration	"feature:hydration"	Hydration
mantle	"feature:mantle"	Mantle
plant nourishment	"feature:plant-nourishment-leshy"	Plant Nourishment (Leshy)
six-armed	"feature:six-armed"	Six-Armed
clan crystal	"feature:clan-crystal"	Clan Crystal
sensory diversity	"feature:sensory-diversity"	Sensory Diversity
breath control	"feature:breath-control"	Breath Control
partner bond	"feature:partner-bond"	Partner Bond
mutant goblin mutation	"feature:mutant-goblin-mutation"	Mutant Goblin Mutation
fire breath	"feature:fire-breath"	Fire Breath
four-armed	"feature:four-armed"	Four-Armed
constructed	"feature:constructed"	Constructed
verdant	"feature:verdant"	Verdant
regenerative evolution	"feature:regenerative-evolution"	Regenerative Evolution
precise hearing	"feature:precise-hearing"	Precise Hearing
sharp teeth	"feature:sharp-teeth"	Sharp Teeth
